#options: 1280x528 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:28.40 aq:21.28 tex:681958 mv:121473 misc:273 imb:2640 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:28.40 aq:21.50 tex:34124 mv:5114 misc:2506 imb:36 pmb:991 smb:1613 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:28.40 aq:26.13 tex:6612 mv:2798 misc:1198 imb:3 pmb:347 smb:2290 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:28.40 aq:30.04 tex:432 mv:713 misc:823 imb:0 pmb:125 smb:2515 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:28.40 aq:30.21 tex:2952 mv:1206 misc:546 imb:5 pmb:138 smb:2497 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:28.40 aq:21.62 tex:55249 mv:6973 misc:2370 imb:46 pmb:1161 smb:1433 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:28.40 aq:28.26 tex:8939 mv:2906 misc:1059 imb:9 pmb:271 smb:2360 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:28.40 aq:30.17 tex:4256 mv:1456 misc:560 imb:7 pmb:146 smb:2487 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:28.40 aq:30.62 tex:4609 mv:3298 misc:1525 imb:4 pmb:450 smb:2186 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:28.40 aq:21.68 tex:103004 mv:7112 misc:2388 imb:56 pmb:1201 smb:1383 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:28.40 aq:28.49 tex:10185 mv:3341 misc:1554 imb:3 pmb:428 smb:2209 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:28.40 aq:31.09 tex:3968 mv:2205 misc:1083 imb:3 pmb:282 smb:2355 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:28.40 aq:30.20 tex:5096 mv:2143 misc:993 imb:2 pmb:258 smb:2380 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:28.40 aq:21.94 tex:97514 mv:5198 misc:2240 imb:49 pmb:972 smb:1619 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:28.40 aq:27.82 tex:10486 mv:2912 misc:1426 imb:2 pmb:451 smb:2187 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:28.40 aq:30.09 tex:1243 mv:898 misc:907 imb:1 pmb:162 smb:2477 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:28.40 aq:29.92 tex:3478 mv:1672 misc:778 imb:2 pmb:200 smb:2438 d:- ref:0 ;
